iter	Passed	Remaining
401	14819	22045
402	14854	22005
403	14890	21967
404	14932	21938
405	14967	21898
406	15004	21860
407	15040	21823
408	15078	21788
409	15114	21749
410	15152	21715
411	15191	21680
412	15228	21644
413	15267	21610
414	15304	21573
415	15343	21540
416	15380	21503
417	15419	21468
418	15456	21432
419	15495	21398
420	15529	21357
421	15565	21319
422	15602	21282
423	15638	21245
424	15674	21206
425	15712	21170
426	15747	21131
427	15787	21099
428	15827	21066
429	15863	21028
430	15895	20985
431	15933	20949
432	15967	20908
433	16001	20868
434	16035	20828
435	16074	20793
436	16110	20755
437	16143	20714
438	16182	20679
439	16221	20646
440	16257	20607
441	16294	20570
442	16333	20537
443	16365	20494
444	16401	20456
445	16437	20417
446	16472	20379
447	16511	20344
448	16545	20304
449	16581	20266
450	16617	20228
451	16655	20192
452	16688	20151
453	16722	20111
454	16761	20077
455	16802	20044
456	16834	20001
457	16871	19965
458	16906	19926
459	16941	19888
460	16977	19850
461	17014	19813
462	17055	19781
463	17096	19748
464	17139	19719
465	17174	19680
466	17212	19645
467	17247	19606
468	17283	19568
469	17323	19535
470	17363	19501
471	17401	19466
472	17438	19429
473	17478	19395
474	17512	19356
475	17553	19323
476	17585	19281
477	17624	19246
478	17659	19208
479	17700	19175
480	17734	19136
481	17774	19102
482	17815	19069
483	17850	19030
484	17881	18987
485	17914	18946
486	17948	18906
487	17990	18875
488	18021	18831
489	18056	18793
490	18093	18756
491	18175	18766
492	18244	18762
493	18312	18757
494	18392	18764
495	18489	18787
496	18581	18806
497	18690	18840
498	18770	18845
499	18819	18819
500	18865	18790
501	18911	18760
502	18947	18721
503	18982	18681
504	19017	18641
505	19051	18599
506	19085	18558
507	19124	18521
508	19161	18483
509	19193	18441
510	19228	18400
511	19264	18361
512	19303	18325
513	19341	18288
514	19377	18248
515	19411	18207
516	19450	18171
517	19486	18131
518	19530	18100
519	19570	18064
520	19604	18023
521	19637	17982
522	19669	17939
523	19707	17902
524	19741	17861
525	19777	17822
526	19813	17783
527	19847	17742
528	19879	17700
529	19915	17660
530	19948	17618
531	19991	17586
532	20026	17547
533	20067	17512
534	20104	17473
535	20143	17437
536	20184	17402
537	20224	17367
538	20263	17331
539	20303	17295
540	20341	17258
541	20380	17221
542	20413	17180
543	20450	17142
544	20487	17104
545	20523	17065
546	20559	17026
547	20593	16985
548	20626	16944
549	20664	16907
550	20696	16865
551	20731	16825
552	20766	16786
553	20803	16747
554	20839	16709
555	20880	16674
556	20913	16632
557	20952	16596
558	20989	16559
559	21025	16519
560	21063	16482
561	21103	16447
562	21142	16410
563	21179	16372
564	21215	16333
565	21252	16296
566	21289	16257
567	21327	16221
568	21364	16183
569	21399	16143
570	21464	16126
571	21557	16130
572	21636	16123
573	21726	16124
574	21811	16121
575	21902	16122
576	21969	16105
577	22034	16087
578	22118	16083
579	22207	16081
580	22302	16084
581	22398	16086
582	22492	16088
583	22589	16091
584	22637	16058
585	22681	16024
586	22718	15984
587	22759	15947
588	22792	15904
589	22829	15864
590	22865	15824
591	22906	15786
592	22942	15746
593	22978	15705
594	23015	15665
595	23053	15626
596	23090	15587
597	23125	15545
598	23161	15505
599	23197	15464
600	23233	15424
601	23267	15382
602	23300	15340
603	23334	15299
604	23371	15258
605	23405	15217
606	23440	15176
607	23483	15140
608	23522	15102
609	23560	15063
610	23595	15022
611	23628	14980
612	23665	14940
613	23702	14900
614	23738	14860
615	23774	14820
616	23807	14778
617	23842	14737
618	23876	14696
619	23912	14655
620	23947	14615
621	23982	14574
622	24018	14534
623	24053	14494
624	24093	14456
625	24132	14417
626	24164	14375
627	24199	14334
628	24239	14296
629	24274	14256
630	24309	14215
631	24347	14177
632	24381	14136
633	24417	14095
634	24449	14053
635	24484	14013
636	24522	13974
637	24561	13936
638	24596	13895
639	24630	13854
640	24668	13815
641	24705	13776
642	24740	13736
643	24775	13695
644	24815	13657
645	24848	13616
646	24883	13576
647	24916	13535
648	24953	13495
649	24992	13457
650	25024	13415
651	25063	13377
652	25104	13340
653	25139	13300
654	25171	13258
655	25209	13219
656	25242	13178
657	25274	13136
658	25305	13094
659	25342	13055
660	25377	13015
661	25409	12973
662	25447	12935
663	25481	12894
664	25519	12855
665	25552	12814
666	25587	12774
667	25620	12733
668	25660	12695
669	25691	12653
670	25729	12615
671	25764	12575
672	25796	12534
673	25832	12494
674	25870	12456
675	25906	12416
676	25940	12376
677	25974	12335
678	26009	12296
679	26043	12255
680	26076	12215
681	26115	12176
682	26150	12137
683	26186	12098
684	26222	12058
685	26255	12018
686	26296	11980
687	26330	11940
688	26365	11900
689	26400	11861
690	26437	11822
691	26471	11781
692	26506	11742
693	26539	11702
694	26576	11663
695	26608	11621
696	26642	11581
697	26676	11541
698	26716	11504
699	26749	11463
700	26788	11425
701	26823	11386
702	26858	11347
703	26895	11308
704	26929	11268
705	26965	11229
706	26999	11189
707	27035	11150
708	27070	11110
709	27106	11071
710	27143	11032
711	27177	10993
712	27214	10954
713	27254	10916
714	27286	10876
715	27318	10835
716	27353	10796
717	27393	10758
718	27424	10717
719	27460	10679
720	27492	10638
721	27529	10600
722	27566	10561
723	27600	10521
724	27635	10482
725	27668	10442
726	27703	10403
727	27741	10364
728	27780	10327
729	27817	10288
730	27852	10249
731	27889	10210
732	27930	10173
733	27965	10134
734	28003	10096
735	28042	10058
736	28095	10026
737	28139	9989
738	28176	9951
739	28216	9914
740	28252	9874
741	28286	9835
742	28320	9795
743	28354	9756
744	28386	9716
745	28424	9678
746	28461	9639
747	28498	9600
748	28537	9563
749	28572	9524
750	28599	9482
751	28642	9446
752	28677	9406
753	28712	9367
754	28746	9328
755	28782	9289
756	28816	9250
757	28853	9211
758	28889	9173
759	28921	9133
760	28956	9094
761	28993	9055
762	29026	9016
763	29087	8984
764	29179	8963
765	29252	8936
766	29337	8912
767	29435	8892
768	29534	8871
769	29621	8848
770	29714	8825
771	29824	8808
772	29922	8787
773	30019	8765
774	30101	8739
775	30196	8716
776	30298	8695
777	30369	8665
778	30415	8628
779	30465	8592
780	30551	8566
781	30651	8544
782	30698	8507
783	30781	8480
784	30843	8447
785	30887	8409
786	30979	8384
787	31055	8354
788	31143	8328
789	31202	8294
790	31292	8268
791	31341	8231
792	31432	8205
793	31505	8173
794	31572	8141
795	31623	8104
796	31677	8068
797	31719	8029
798	31754	7988
799	31789	7947
800	31828	7907
801	31861	7866
802	31899	7825
803	31936	7785
804	31970	7744
805	32008	7704
806	32043	7663
807	32081	7623
808	32116	7582
809	32148	7541
810	32180	7499
811	32213	7458
812	32247	7417
813	32282	7376
814	32319	7336
815	32355	7295
816	32392	7255
817	32424	7214
818	32459	7173
819	32488	7131
820	32525	7091
821	32561	7051
822	32596	7010
823	32634	6970
824	32673	6930
825	32711	6890
826	32739	6848
827	32779	6809
828	32812	6768
829	32845	6727
830	32876	6686
831	32910	6645
832	32946	6605
833	32980	6564
834	33014	6523
835	33049	6483
836	33083	6442
837	33118	6402
838	33155	6362
839	33190	6322
840	33229	6282
841	33262	6241
842	33298	6201
843	33332	6160
844	33371	6121
845	33405	6080
846	33440	6040
847	33474	6000
848	33509	5959
849	33544	5919
850	33584	5880
851	33618	5839
852	33650	5799
853	33685	5758
854	33719	5718
855	33752	5678
856	33790	5638
857	33824	5598
858	33859	5557
859	33894	5517
860	33929	5477
861	33960	5436
862	34002	5397
863	34035	5357
864	34073	5317
865	34107	5277
866	34142	5237
867	34179	5197
868	34215	5157
869	34242	5116
870	34277	5076
871	34308	5036
872	34340	4995
873	34374	4955
874	34407	4915
875	34443	4875
876	34479	4835
877	34518	4796
878	34553	4756
879	34584	4716
880	34623	4676
881	34664	4637
882	34697	4597
883	34729	4557
884	34766	4517
885	34804	4478
886	34837	4438
887	34873	4398
888	34908	4358
889	34944	4319
890	34980	4279
891	35012	4239
892	35048	4199
893	35084	4159
894	35121	4120
895	35158	4080
896	35194	4041
897	35235	4002
898	35269	3962
899	35308	3923
900	35340	3883
901	35377	3843
902	35415	3804
903	35448	3764
904	35486	3725
905	35524	3685
906	35558	3645
907	35593	3606
908	35630	3566
909	35664	3527
910	35696	3487
911	35737	3448
912	35774	3408
913	35807	3369
914	35846	3330
915	35879	3290
916	35912	3250
917	35948	3211
918	35986	3171
919	36021	3132
920	36060	3093
921	36095	3053
922	36130	3014
923	36170	2975
924	36207	2935
925	36251	2896
926	36291	2857
927	36329	2818
928	36367	2779
929	36406	2740
930	36440	2700
931	36474	2661
932	36507	2621
933	36541	2582
934	36578	2542
935	36619	2503
936	36657	2464
937	36695	2425
938	36741	2386
939	36779	2347
940	36823	2308
941	36867	2269
942	36905	2230
943	36940	2191
944	36975	2151
945	37012	2112
946	37049	2073
947	37090	2034
948	37128	1995
949	37165	1956
950	37204	1916
951	37238	1877
952	37274	1838
953	37310	1799
954	37343	1759
955	37380	1720
956	37413	1681
957	37447	1641
958	37487	1602
959	37520	1563
960	37558	1524
961	37592	1484
962	37627	1445
963	37662	1406
964	37695	1367
965	37733	1328
966	37764	1288
967	37799	1249
968	37830	1210
969	37862	1171
970	37901	1131
971	37935	1092
972	37966	1053
973	37999	1014
974	38060	975
975	38097	936
976	38138	897
977	38174	858
978	38209	819
979	38247	780
980	38284	741
981	38320	702
982	38357	663
983	38390	624
984	38423	585
985	38458	546
986	38490	506
987	38525	467
988	38559	428
989	38593	389
990	38632	350
991	38666	311
992	38703	272
993	38731	233
994	38775	194
995	38807	155
996	38841	116
997	38883	77
998	38915	38
999	38947	0
